SubId,HyLakeId,HRU_IsLake,Soil_ID,Veg_ID,O_ID_1,O_ID_2,Landuse_ID,HRU_Area,HRU_ID,LAND_USE_C,VEG_C,SOIL_PROF,HRU_CenX,HRU_CenY,DowSubId,RivSlope,RivLength,BasSlope,BasAspect,BasArea,BkfWidth,BkfDepth,Lake_Cat,LakeVol,LakeDepth,LakeArea,Laketype,Has_Gauge,MeanElev,FloodP_n,Q_Mean,Ch_n,DrainArea,Strahler,Seg_ID,Seg_order,Max_DEM,Min_DEM,DA_Obs,DA_error,Obs_NM,SRC_obs,centroid_x,centroid_y,HRU_S_mean,HRU_A_mean,HRU_E_mean
130,,-1,1,1,1,1,1,549797,237,Landuse_Land_HRU,Veg_Land_HRU,Soil_Land_HRU,-78.86866245,45.85032316,125,0.001195315,0,4.850742636,189.9415122,658124.1252,1.502906918,0.105468681,2,0.44,4.1,110000,1,0,458.1623961,0.112500003,0.043571165,0.025727095,658124.1252,2,68,1,420.4602661,384.7315369,0,0,,,1404970.761,12156381.3,4.851,189.942,458.162
135,108564,1,-1,-1,-1,-1,-1,3485258,238,LAKE,LAKE,LAKE,-78.81793149,45.69803691,136,0.001323705,0,4.802888503,196.9539137,15871595.57,17.83343571,0.465270244,1,29.95,8.6,3480000,1,1,438.5501688,0.104589007,4.702891924,0.033084035,108507344.5,2,66,1,419.691925,414.6539612,0,,Misty,,1410102.48,12140045.48,4.803,196.954,438.55
443,1031318,1,-1,-1,-1,-1,-1,114012,239,LAKE,LAKE,LAKE,-78.59005297,46.09534862,442,0.001088978,0,4.584875796,180.9437071,3865604.312,3.544060052,0.176467572,2,0.42,3.7,110000,1,0,454.7328767,0.114285717,0.242290927,0.033468163,3865604.312,2,116,6,309.8076172,306.1997375,0,0,,,1424779.71,12185162.23,4.585,180.944,454.733
405,,-1,1,1,1,1,1,444576,240,Landuse_Land_HRU,Veg_Land_HRU,Soil_Land_HRU,-78.76415274,45.95477005,406,0.000440129,0,6.537457887,223.1129869,651028.9148,1.495034057,0.10513684,2,1.01,4.9,210000,1,0,464.1957631,0.113716817,0.043115872,0.025,651028.9148,2,109,1,333.7697144,330.1021729,0,0,,,1412152.823,12168538.81,6.537,223.113,464.196
220,,-1,1,1,1,1,1,37671568,241,Landuse_Land_HRU,Veg_Land_HRU,Soil_Land_HRU,-78.59782744,45.76459016,223,0.000806335,0,3.485869179,187.7924687,53384067.34,30.04458881,0.636244476,1,209.27,13.4,15680000,1,1,421.2990236,0.067694985,6.629511388,0.031108541,318401683.3,3,80,1,400.1791077,396.9217224,0,,Big Trout,,1426117.917,12148528.94,3.486,187.792,421.299
501,1031964,1,-1,-1,-1,-1,-1,128492,242,LAKE,LAKE,LAKE,-78.27942905,46.03750287,508,0.002666969,0,8.117859873,170.5797413,2489816.6,22.13402857,0.52966411,1,0.87,6.8,130000,1,0,372.333481,0.100000001,9.450525094,0.03835864,169471440.2,2,132,5,303.5292969,300.0579834,0,0,,,1448996.589,12181033.4,8.118,170.58,372.333
57,1035727,1,-1,-1,-1,-1,-1,116834,243,LAKE,LAKE,LAKE,-78.88716003,45.67885389,56,0.002051366,0,3.502637333,159.9766748,1014382.963,5.540396615,0.230721879,2,0.38,3.2,120000,1,0,456.2458648,0.127822585,0.592129527,0.032937375,9720253.488,1,2,4,443.1956787,433.5776978,0,0,,,1404925.276,12137316.91,3.503,159.977,456.246
298,,-1,1,1,1,1,1,588471,244,Landuse_Land_HRU,Veg_Land_HRU,Soil_Land_HRU,-78.36315663,46.06510365,296,0.000803506,0,3.412849067,151.9379028,694509.0206,1.542609028,0.107131648,2,0.38,3.5,110000,1,0,413.839835,0.100000001,0.0459036,0.032168741,694509.0206,1,19,3,350.0661011,346.625061,0,0,,,1441948.186,12183431.88,3.413,151.938,413.84
574,,-1,1,1,1,1,1,13067929,245,Landuse_Land_HRU,Veg_Land_HRU,Soil_Land_HRU,-78.29751368,45.98286567,583,0.002196881,0,3.233784201,168.6644054,19432648.31,73.42536366,1.087606839,1,70.06,11,6350000,1,1,316.3675739,0.083543585,61.0367557,0.033768006,2013243523,4,144,1,280.7559509,275.6395874,0,0,Radiant,,1447945.111,12175136.58,3.234,168.664,316.368
140,,-1,1,1,1,1,1,1575701,246,Landuse_Land_HRU,Veg_Land_HRU,Soil_Land_HRU,-78.74474566,45.85843354,139,0.006543408,0,3.942803448,174.0583903,1749608.465,2.413707477,0.140144174,2,0.75,4.3,170000,1,0,429.3435142,0.100000001,0.112383946,0.058481036,1749608.465,1,8,3,413.0119629,384.8251038,0,0,,,1414468.777,12158080.96,3.943,174.058,429.344
